Pipeline,Type,Affected Parameter,Formula,Reasoning
C/Pydantic,Non negative,snowwater,,Water in snow amount in mm.
C/Pydantic,Non negative,state,,Wetness amount in mm.
C/Pydantic,Non negative,wu_auto,, Rate.
C/Pydantic,Non negative,wu_manual,, Rate.
C/Pydantic,Non negative,wu_total,, Rate.
C/Pydantic,Non negative,bldgh,,Height.
C/Pydantic,Non negative,faibldg,,Frontal Area Index.
C/Pydantic,Non negative,roof_albedo_dir_mult_fact,,Scaling factor.
C/Pydantic,Positive,FloorThickness,,Thickness.
C/Pydantic,Positive,FootprintArea,,Area.
C/Pydantic,Positive,GroundFloorCp,,Heat Capacity.
C/Pydantic,Positive,GroundFloorDensity,,Density.
C/Pydantic,Positive,GroundFloorEffectiveConductivity,,Conductivity.
C/Pydantic,Positive,MaximumHotWaterHeatingPower,,Capacity.
C/Pydantic,Positive,RoofCp,,Heat Capacity.
C/Pydantic,Positive,RoofDensity,,Density.
C/Pydantic,Positive,RoofEffectiveConductivity,,Conductivity.
C/Pydantic,Positive,RoofThickness,,Thickness.
C/Pydantic,Positive,RoofextCp,,Heat Capacity.
C/Pydantic,Positive,RoofextDensity,,Density.
C/Pydantic,Positive,RoofextEffectiveConductivity,,Conductivity.
C/Pydantic,Positive,RoofextThickness,,Thickness.
C/Pydantic,Positive,WallCp,,Heat Capacity.
C/Pydantic,Positive,WallDensity,,Density.
C/Pydantic,Positive,WallEffectiveConductivity,,Conductivity.
C/Pydantic,Positive,WallExternalArea,,Area.
C/Pydantic,Positive,WallThickness,,Thickness.
C/Pydantic,Positive,WallextCp,,Heat Capacity.
C/Pydantic,Positive,WallextDensity,,Density.
C/Pydantic,Positive,WallextEffectiveConductivity,,Conductivity.
C/Pydantic,Positive,WallextThickness,,Thickness.
C/Pydantic,Positive,WaterTankWaterVolume,,Volume.
C/Pydantic,Positive,WindowCp,,Heat Capacity.
C/Pydantic,Positive,WindowDensity,,Density.
C/Pydantic,Positive,WindowEffectiveConductivity,,Conductivity.
C/Pydantic,Positive,WindowThickness,,Thickness.
C/Pydantic,Positive,stebbs_Height,,Height.
C/Pydantic,Positive,alt,,Altitude.
C/Pydantic,Positive,pipecapacity,,Capacity.
C/Pydantic,Positive,surfacearea,,Area.
C/Pydantic,Positive,z,,Height.
C/Pydantic,Positive,z0m_in,,Height.
C/Pydantic,Positive,zdm_in,,Height.
C/Pydantic,Positive,DHWDensity,,Density.
C/Pydantic,Positive,DHWSpecificHeatCapacity,,Heat Capacity.
C/Pydantic,Positive,DHWSurfaceArea,,Area.
C/Pydantic,Positive,DHWVesselDensity,,Density.
C/Pydantic,Positive,DHWVesselSpecificHeatCapacity,,Heat Capacity.
C/Pydantic,Positive,DHWVesselWallConductivity,,Conductivity.
C/Pydantic,Positive,DHWVesselWallThickness,,Thickness.
C/Pydantic,Positive,DHWWaterVolume,,Volume.
C/Pydantic,Positive,FloorInternalConvectionCoefficient,,Convection coefficient.
C/Pydantic,Positive,HotWaterHeatingSetpointTemperature,,Temperature.
C/Pydantic,Positive,HotWaterTankSpecificHeatCapacity,,Heat Capacity.
C/Pydantic,Positive,HotWaterTankWallConductivity,,Conductivity.
C/Pydantic,Positive,HotWaterTankWallDensity,,Density.
C/Pydantic,Positive,InternalMassConvectionCoefficient,,Convection coefficient.
C/Pydantic,Positive,RoofExternalConvectionCoefficient,,Convection coefficient.
C/Pydantic,Positive,RoofInternalConvectionCoefficient,,Convection coefficient.
C/Pydantic,Positive,WallExternalConvectionCoefficient,,Convection coefficient.
C/Pydantic,Positive,WallInternalConvectionCoefficient,,Convection coefficient.
C/Pydantic,Positive,WaterTankWallThickness,,Thickness.
C/Pydantic,Positive,WindowExternalConvectionCoefficient,,Convection coefficient.
C/Pydantic,Positive,WindowInternalConvectionCoefficient,,Convection coefficient.
